State,County,TotalPop
California,Riverside County,2355002
California,Sacramento County,1495400
California,San Benito County,58671
California,San Bernardino County,2121220
California,San Diego County,3283665
California,San Francisco County,864263
California,San Joaquin County,724153
California,San Luis Obispo County,280119
California,San Mateo County,763450
California,Santa Barbara County,442996
California,Santa Clara County,1911226
California,Santa Cruz County,273263
California,Shasta County,178919
California,Sierra County,2885
California,Siskiyou County,43530
California,Solano County,434981
California,Sonoma County,500943
California,Stanislaus County,535684
California,Sutter County,95583
California,Tehama County,63247
California,Trinity County,13037
California,Tulare County,458809
California,Tuolumne County,53899
California,Ventura County,847834
California,Yolo County,212605
California,Yuba County,74644
Colorado,Adams County,487850
Colorado,Alamosa County,16345
Colorado,Arapahoe County,626612
Colorado,Archuleta County,12592
Colorado,Baca County,3581
Colorado,Bent County,5806
Colorado,Boulder County,316782
Colorado,Broomfield County,64283
Colorado,Chaffee County,18818
Colorado,Cheyenne County,2127
Colorado,Clear Creek County,9257
Colorado,Conejos County,8147
Colorado,Costilla County,3628
Colorado,Crowley County,5514
Colorado,Custer County,4505
Colorado,Delta County,30217
Colorado,Denver County,678467
Colorado,Dolores County,1736
Colorado,Douglas County,320940
Colorado,Eagle County,53726
Colorado,Elbert County,24553
Colorado,El Paso County,674826
Colorado,Fremont County,46601
Colorado,Garfield County,57945
Colorado,Gilpin County,5793
Colorado,Grand County,14793
Colorado,Gunnison County,16215
Colorado,Hinsdale County,820
Colorado,Huerfano County,6498
Colorado,Jackson County,1372
Colorado,Jefferson County,564029
Colorado,Kiowa County,1368
Colorado,Kit Carson County,7846
Colorado,Lake County,7481
Colorado,La Plata County,54469
Colorado,Larimer County,330976
Colorado,Las Animas County,14151
Colorado,Lincoln County,5520
Colorado,Logan County,21885
Colorado,Mesa County,148798
Colorado,Mineral County,834
Colorado,Moffat County,13056
Colorado,Montezuma County,25770
Colorado,Montrose County,40908
Colorado,Morgan County,28123
Colorado,Otero County,18325
Colorado,Ouray County,4653
Colorado,Park County,16900
Colorado,Phillips County,4327
Colorado,Pitkin County,17747
Colorado,Prowers County,12084
Colorado,Pueblo County,163368
Colorado,Rio Blanco County,6557
Colorado,Rio Grande County,11430
Colorado,Routt County,24359
Colorado,Saguache County,6338
Colorado,San Juan County,569
Colorado,San Miguel County,7804
Colorado,Sedgwick County,2357
Colorado,Summit County,29722
Colorado,Teller County,23769
Colorado,Washington County,4809
Colorado,Weld County,285729
Colorado,Yuma County,10109
Connecticut,Fairfield County,947328
Connecticut,Hartford County,897417
Connecticut,Litchfield County,184454
Connecticut,Middlesex County,164110
Connecticut,New Haven County,862127
Connecticut,New London County,270772
Connecticut,Tolland County,151596
Connecticut,Windham County,116674
Delaware,Kent County,173145
Delaware,New Castle County,555036
Delaware,Sussex County,215551
District of Columbia,District of Columbia,672391
Florida,Alachua County,259865
Florida,Baker County,27537
Florida,Bay County,180117
Florida,Bradford County,26775
Florida,Brevard County,568183
Florida,Broward County,1890416
Florida,Calhoun County,14458
Florida,Charlotte County,173236
Florida,Citrus County,141373
Florida,Clay County,203291
Florida,Collier County,356774
Florida,Columbia County,68484
Florida,DeSoto County,35675
Florida,Dixie County,16323
Florida,Duval County,912043
Florida,Escambia County,309924
Florida,Flagler County,105015
Florida,Franklin County,11675
Florida,Gadsden County,46113
Florida,Gilchrist County,17191
Florida,Glades County,13197
Florida,Gulf County,16018
Florida,Hamilton County,14238
Florida,Hardee County,27326
Florida,Hendry County,39064
Florida,Hernando County,179144
Florida,Highlands County,100177
Florida,Hillsborough County,1351087
Florida,Holmes County,19483
Florida,Indian River County,147981
Florida,Jackson County,48571
Florida,Jefferson County,14085
Florida,Lafayette County,8684
Florida,Lake County,326215
Florida,Lee County,700165
Florida,Leon County,285890
Florida,Levy County,39713
Florida,Liberty County,8347
Florida,Madison County,18518
Florida,Manatee County,363542
Florida,Marion County,343778
Florida,Martin County,155719
Florida,Miami-Dade County,2702602
Florida,Monroe County,76745
Florida,Nassau County,78435
Florida,Okaloosa County,197591
Florida,Okeechobee County,40228
Florida,Orange County,1290216
