State,County,TotalPop
Kentucky,Adair County,19304
Kentucky,Allen County,20628
Kentucky,Anderson County,22017
Kentucky,Ballard County,8152
Kentucky,Barren County,43418
Kentucky,Bath County,12189
Kentucky,Bell County,27469
Kentucky,Boone County,127682
Kentucky,Bourbon County,20017
Kentucky,Boyd County,48486
Kentucky,Boyle County,29773
Kentucky,Bracken County,8330
Kentucky,Breathitt County,13276
Kentucky,Breckinridge County,19991
Kentucky,Bullitt County,78622
Kentucky,Butler County,12735
Kentucky,Caldwell County,12747
Kentucky,Calloway County,38616
Kentucky,Campbell County,91804
Kentucky,Carlisle County,4890
Kentucky,Carroll County,10695
Kentucky,Carter County,27385
Kentucky,Casey County,15805
Kentucky,Christian County,72438
Kentucky,Clark County,35757
Kentucky,Clay County,20866
Kentucky,Clinton County,10208
Kentucky,Crittenden County,9154
Kentucky,Cumberland County,6744
Kentucky,Daviess County,99258
Kentucky,Edmonson County,12063
Kentucky,Elliott County,7533
Kentucky,Estill County,14382
Kentucky,Fayette County,315109
Kentucky,Fleming County,14515
Kentucky,Floyd County,37447
Kentucky,Franklin County,49969
Kentucky,Fulton County,6259
Kentucky,Gallatin County,8652
Kentucky,Garrard County,17226
Kentucky,Grant County,24800
Kentucky,Graves County,37259
Kentucky,Grayson County,26129
Kentucky,Green County,11044
Kentucky,Greenup County,36012
Kentucky,Hancock County,8700
Kentucky,Hardin County,107699
Kentucky,Harlan County,27548
Kentucky,Harrison County,18630
Kentucky,Hart County,18531
Kentucky,Henderson County,46252
Kentucky,Henry County,15677
Kentucky,Hickman County,4625
Kentucky,Hopkins County,45985
Kentucky,Jackson County,13369
Kentucky,Jefferson County,764378
Kentucky,Jessamine County,51667
Kentucky,Johnson County,23064
Kentucky,Kenton County,163987
Kentucky,Knott County,15690
Kentucky,Knox County,31424
Kentucky,Larue County,14102
Kentucky,Laurel County,59901
Kentucky,Lawrence County,15844
Kentucky,Lee County,6717
Kentucky,Leslie County,10648
Kentucky,Letcher County,23011
Kentucky,Lewis County,13565
Kentucky,Lincoln County,24413
Kentucky,Livingston County,9288
Kentucky,Logan County,26847
Kentucky,Lyon County,8268
Kentucky,McCracken County,65285
Kentucky,McCreary County,17748
Kentucky,McLean County,9361
Kentucky,Madison County,88376
Kentucky,Magoffin County,12783
Kentucky,Marion County,19335
Kentucky,Marshall County,31177
Kentucky,Martin County,12175
Kentucky,Mason County,17167
Kentucky,Meade County,28452
Kentucky,Menifee County,6381
Kentucky,Mercer County,21378
Kentucky,Metcalfe County,9990
Kentucky,Monroe County,10645
Kentucky,Montgomery County,27550
Kentucky,Morgan County,13281
Kentucky,Muhlenberg County,31153
Kentucky,Nelson County,45131
Kentucky,Nicholas County,7061
Kentucky,Ohio County,24062
Kentucky,Oldham County,64633
Kentucky,Owen County,10686
Kentucky,Owsley County,4497
Kentucky,Pendleton County,14530
Kentucky,Perry County,27329
Kentucky,Pike County,61586
Kentucky,Powell County,12349
Kentucky,Pulaski County,63974
Kentucky,Robertson County,2161
Kentucky,Rockcastle County,16815
Kentucky,Rowan County,24392
Kentucky,Russell County,17731
Kentucky,Scott County,52322
Kentucky,Shelby County,45831
Kentucky,Simpson County,17881
Kentucky,Spencer County,18012
Kentucky,Taylor County,25406
Kentucky,Todd County,12377
Kentucky,Trigg County,14286
Kentucky,Trimble County,8697
Kentucky,Union County,14915
Kentucky,Warren County,123824
Kentucky,Washington County,11999
Kentucky,Wayne County,20692
Kentucky,Webster County,13180
Kentucky,Whitley County,36027
Kentucky,Wolfe County,7251
Kentucky,Woodford County,25817
Louisiana,Acadia Parish,62607
Louisiana,Allen Parish,25667
Louisiana,Ascension Parish,119129
Louisiana,Assumption Parish,22881
Louisiana,Avoyelles Parish,41095
Louisiana,Beauregard Parish,36598
Louisiana,Bienville Parish,13806
Louisiana,Bossier Parish,125698
Louisiana,Caddo Parish,251069
Louisiana,Calcasieu Parish,198753
Louisiana,Caldwell Parish,10000
Louisiana,Cameron Parish,6806
Louisiana,Catahoula Parish,10044
Louisiana,Claiborne Parish,16296
Louisiana,Concordia Parish,20211
Louisiana,De Soto Parish,27164
Louisiana,East Baton Rouge Parish,446167
Louisiana,East Carroll Parish,7318
Louisiana,East Feliciana Parish,19553
Louisiana,Evangeline Parish,33750
Louisiana,Franklin Parish,20388
Louisiana,Grant Parish,22305
Louisiana,Iberia Parish,73346
Louisiana,Iberville Parish,33122
Louisiana,Jackson Parish,15952
Louisiana,Jefferson Parish,437038
Louisiana,Jefferson Davis Parish,31405
Louisiana,Lafayette Parish,238230
Louisiana,Lafourche Parish,98112
Louisiana,LaSalle Parish,14930
Louisiana,Lincoln Parish,47536
Louisiana,Livingston Parish,137096
Louisiana,Madison Parish,11616
Louisiana,Morehouse Parish,26290
Louisiana,Natchitoches Parish,39051
Louisiana,Orleans Parish,388182
Louisiana,Ouachita Parish,156433
Louisiana,Plaquemines Parish,23394
Louisiana,Pointe Coupee Parish,22271
Louisiana,Rapides Parish,132080
Louisiana,Red River Parish,8723
Louisiana,Richland Parish,20619
Louisiana,Sabine Parish,24145
Louisiana,St. Bernard Parish,45067
Louisiana,St. Charles Parish,52728
Louisiana,St. Helena Parish,10509
Louisiana,St. James Parish,21485
Louisiana,St. John the Baptist Parish,43565
Louisiana,St. Landry Parish,83580
Louisiana,St. Martin Parish,53609
Louisiana,St. Mary Parish,52578
Louisiana,St. Tammany Parish,249201
Louisiana,Tangipahoa Parish,128850
Louisiana,Tensas Parish,4771
Louisiana,Terrebonne Parish,113067
Louisiana,Union Parish,22537
Louisiana,Vermilion Parish,59841
Louisiana,Vernon Parish,51906
Louisiana,Washington Parish,46449
Louisiana,Webster Parish,40043
Louisiana,West Baton Rouge Parish,25518
Louisiana,West Carroll Parish,11274
Louisiana,West Feliciana Parish,15376
Louisiana,Winn Parish,14631
Maine,Androscoggin County,107317
Maine,Aroostook County,68840
Maine,Cumberland County,289173
Maine,Franklin County,30177
Maine,Hancock County,54468
Maine,Kennebec County,121289
Maine,Knox County,39700
Maine,Lincoln County,34021
Maine,Oxford County,57230
Maine,Penobscot County,152284
Maine,Piscataquis County,16960
Maine,Sagadahoc County,35149
Maine,Somerset County,50994
Maine,Waldo County,39280
Maine,Washington County,31822
Maine,York County,201454
Maryland,Allegany County,72591
Maryland,Anne Arundel County,564600
Maryland,Baltimore County,828637
Maryland,Calvert County,90824
Maryland,Caroline County,32785
Maryland,Carroll County,167319
Maryland,Cecil County,102416
Maryland,Charles County,156021
Maryland,Dorchester County,32386
Maryland,Frederick County,246105
Maryland,Garrett County,29516
Maryland,Harford County,250132
Maryland,Howard County,312495
Maryland,Kent County,19666
Maryland,Montgomery County,1039198
Maryland,Prince George's County,905161
Maryland,Queen Anne's County,49071
Maryland,St. Mary's County,110979
Maryland,Somerset County,25801
Maryland,Talbot County,37461
Maryland,Washington County,149546
Maryland,Wicomico County,102014
Maryland,Worcester County,51559
Maryland,Baltimore city,619796
Massachusetts,Barnstable County,213900
Massachusetts,Berkshire County,127751
Massachusetts,Bristol County,557016
Massachusetts,Dukes County,17275
Massachusetts,Essex County,775860
Massachusetts,Franklin County,70926
Massachusetts,Hampden County,469188
Massachusetts,Hampshire County,161197
Massachusetts,Middlesex County,1582857
Massachusetts,Nantucket County,10912
Massachusetts,Norfolk County,694389
Massachusetts,Plymouth County,509114
Massachusetts,Suffolk County,780685
Massachusetts,Worcester County,818249
Michigan,Alcona County,10413
Michigan,Alger County,9254
Michigan,Allegan County,114145
Michigan,Alpena County,28730
Michigan,Antrim County,23133
Michigan,Arenac County,15238
Michigan,Baraga County,8580
Michigan,Barry County,59607
Michigan,Bay County,105350
Michigan,Benzie County,17462
Michigan,Berrien County,154948
Michigan,Branch County,43543
Michigan,Calhoun County,134327
Michigan,Cass County,51397
Michigan,Charlevoix County,26160
Michigan,Cheboygan County,25475
Michigan,Chippewa County,38023
Michigan,Clare County,30597
Michigan,Clinton County,77321
Michigan,Crawford County,13821
Michigan,Delta County,36395
Michigan,Dickinson County,25694
Michigan,Eaton County,108586
Michigan,Emmet County,32978
Michigan,Genesee County,410881
Michigan,Gladwin County,25324
Michigan,Gogebic County,15577
Michigan,Grand Traverse County,91222
Michigan,Gratiot County,41319
Michigan,Hillsdale County,45909
Michigan,Houghton County,36333
Michigan,Huron County,31750
Michigan,Ingham County,286185
Michigan,Ionia County,64147
Michigan,Iosco County,25317
Michigan,Iron County,11291
Michigan,Isabella County,70572
Michigan,Jackson County,158989
Michigan,Kalamazoo County,259830
Michigan,Kalkaska County,17358
Michigan,Kent County,636376
Michigan,Keweenaw County,2136
Michigan,Lake County,11669
Michigan,Lapeer County,88205
Michigan,Leelanau County,21564
Michigan,Lenawee County,98585
Michigan,Livingston County,186946
Michigan,Luce County,6406
Michigan,Mackinac County,10836
Michigan,Macomb County,864019
Michigan,Manistee County,24432
Michigan,Marquette County,67145
Michigan,Mason County,28800
Michigan,Mecosta County,43181
Michigan,Menominee County,23389
Michigan,Midland County,83489
Michigan,Missaukee County,14982
Michigan,Monroe County,149619
Michigan,Montcalm County,62956
Michigan,Montmorency County,9290
Michigan,Muskegon County,172707
Michigan,Newaygo County,47899
Michigan,Oakland County,1241860
Michigan,Oceana County,26317
Michigan,Ogemaw County,20979
Michigan,Ontonagon County,6072
Michigan,Osceola County,23221
Michigan,Oscoda County,8304
Michigan,Otsego County,24247
Michigan,Ottawa County,280243
Michigan,Presque Isle County,12854
Michigan,Roscommon County,23934
Michigan,Saginaw County,193803
Michigan,St. Clair County,159761
Michigan,St. Joseph County,60890
Michigan,Sanilac County,41535
Michigan,Schoolcraft County,8114
Michigan,Shiawassee County,68617
Michigan,Tuscola County,53569
Michigan,Van Buren County,75190
Michigan,Washtenaw County,361509
Michigan,Wayne County,1763822
Michigan,Wexford County,32915
Minnesota,Aitkin County,15841
Minnesota,Anoka County,344861
Minnesota,Becker County,33552
Minnesota,Beltrami County,45847
Minnesota,Benton County,39360
Minnesota,Big Stone County,5039
Minnesota,Blue Earth County,65767
Minnesota,Brown County,25243
Minnesota,Carlton County,35408
Minnesota,Carver County,98799
Minnesota,Cass County,28810
Minnesota,Chippewa County,12040
Minnesota,Chisago County,54297
Minnesota,Clay County,62040
Minnesota,Clearwater County,8824
Minnesota,Cook County,5270
Minnesota,Cottonwood County,11437
Minnesota,Crow Wing County,63505
Minnesota,Dakota County,414655
Minnesota,Dodge County,20485
Minnesota,Douglas County,36891
Minnesota,Faribault County,13966
Minnesota,Fillmore County,20825
Minnesota,Freeborn County,30619
Minnesota,Goodhue County,46138
Minnesota,Grant County,5923
Minnesota,Hennepin County,1224763
Minnesota,Houston County,18709
Minnesota,Hubbard County,20743
Minnesota,Isanti County,38584
Minnesota,Itasca County,45237
Minnesota,Jackson County,10104
Minnesota,Kanabec County,15948
Minnesota,Kandiyohi County,42577
Minnesota,Kittson County,4384
Minnesota,Koochiching County,12776
Minnesota,Lac qui Parle County,6840
Minnesota,Lake County,10578
Minnesota,Lake of the Woods County,3841
Minnesota,Le Sueur County,27810
Minnesota,Lincoln County,5724
Minnesota,Lyon County,25789
Minnesota,McLeod County,35816
Minnesota,Mahnomen County,5500
Minnesota,Marshall County,9397
Minnesota,Martin County,20084
Minnesota,Meeker County,23105
Minnesota,Mille Lacs County,25635
Minnesota,Morrison County,32880
Minnesota,Mower County,39386
Minnesota,Murray County,8394
Minnesota,Nicollet County,33477
Minnesota,Nobles County,21854
Minnesota,Norman County,6589
Minnesota,Olmsted County,151685
Minnesota,Otter Tail County,57790
Minnesota,Pennington County,14197
Minnesota,Pine County,29057
Minnesota,Pipestone County,9229
Minnesota,Polk County,31564
Minnesota,Pope County,10932
Minnesota,Ramsey County,537893
Minnesota,Red Lake County,4017
Minnesota,Redwood County,15430
Minnesota,Renville County,14798
Minnesota,Rice County,65251
Minnesota,Rock County,9433
Minnesota,Roseau County,15537
Minnesota,St. Louis County,200294
Minnesota,Scott County,141463
Minnesota,Sherburne County,92024
Minnesota,Sibley County,14888
Minnesota,Stearns County,155300
Minnesota,Steele County,36612
Minnesota,Stevens County,9759
Minnesota,Swift County,9448
Minnesota,Todd County,24423
Minnesota,Traverse County,3357
Minnesota,Wabasha County,21490
Minnesota,Wadena County,13626
Minnesota,Waseca County,18898
Minnesota,Washington County,250979
Minnesota,Watonwan County,10936
Minnesota,Wilkin County,6398
Minnesota,Winona County,50992
Minnesota,Wright County,131130
Minnesota,Yellow Medicine County,9930
Mississippi,Adams County,31583
Mississippi,Alcorn County,37242
Mississippi,Amite County,12574
Mississippi,Attala County,18731
Mississippi,Benton County,8306
Mississippi,Bolivar County,33121
Mississippi,Calhoun County,14617
Mississippi,Carroll County,10221
Mississippi,Chickasaw County,17305
Mississippi,Choctaw County,8360
Mississippi,Claiborne County,9106
Mississippi,Clarke County,16089
Mississippi,Clay County,19990
Mississippi,Coahoma County,24296
Mississippi,Copiah County,28748
Mississippi,Covington County,19172
Mississippi,DeSoto County,173267
Mississippi,Forrest County,75835
Mississippi,Franklin County,7772
Mississippi,George County,23545
Mississippi,Greene County,13801
Mississippi,Grenada County,21379
Mississippi,Hancock County,46277
Mississippi,Harrison County,200491
Mississippi,Hinds County,243249
Mississippi,Holmes County,18267
Mississippi,Humphreys County,8678
Mississippi,Issaquena County,1296
Mississippi,Itawamba County,23439
Mississippi,Jackson County,141314
Mississippi,Jasper County,16547
Mississippi,Jefferson County,7463
Mississippi,Jefferson Davis County,11639
Mississippi,Jones County,68328
Mississippi,Kemper County,10082
Mississippi,Lafayette County,52744
Mississippi,Lamar County,60517
Mississippi,Lauderdale County,78221
Mississippi,Lawrence County,12659
Mississippi,Leake County,22936
Mississippi,Lee County,84840
Mississippi,Leflore County,30113
Mississippi,Lincoln County,34542
Mississippi,Lowndes County,59558
Mississippi,Madison County,102212
Mississippi,Marion County,25466
Mississippi,Marshall County,35981
Mississippi,Monroe County,35967
Mississippi,Montgomery County,10309
Mississippi,Neshoba County,29437
Mississippi,Newton County,21437
Mississippi,Noxubee County,10942
Mississippi,Oktibbeha County,49392
Mississippi,Panola County,34229
Mississippi,Pearl River County,55049
Mississippi,Perry County,12047
Mississippi,Pike County,39763
Mississippi,Pontotoc County,31075
Mississippi,Prentiss County,25389
Mississippi,Quitman County,7537
Mississippi,Rankin County,149645
Mississippi,Scott County,28399
Mississippi,Sharkey County,4631
Mississippi,Simpson County,27215
Mississippi,Smith County,16114
Mississippi,Stone County,17981
Mississippi,Sunflower County,26915
Mississippi,Tallahatchie County,14552
Mississippi,Tate County,28333
Mississippi,Tippah County,21993
Mississippi,Tishomingo County,19476
Mississippi,Tunica County,10276
Mississippi,Union County,28202
Mississippi,Walthall County,14670
Mississippi,Warren County,47510
Mississippi,Washington County,48002
Mississippi,Wayne County,20458
Mississippi,Webster County,9868
Mississippi,Wilkinson County,9084
Mississippi,Winston County,18482
Mississippi,Yalobusha County,12426
Mississippi,Yazoo County,27496
Missouri,Adair County,25437
Missouri,Andrew County,17358
Missouri,Atchison County,5335
Missouri,Audrain County,25763
Missouri,Barry County,35398
Missouri,Barton County,11942
Missouri,Bates County,16405
Missouri,Benton County,18918
Missouri,Bollinger County,12347
Missouri,Boone County,174589
Missouri,Buchanan County,89425
Missouri,Butler County,42826
Missouri,Caldwell County,9046
Missouri,Callaway County,44793
Missouri,Camden County,44855
Missouri,Cape Girardeau County,78013
Missouri,Carroll County,8909
Missouri,Carter County,6255
Missouri,Cass County,101888
Missouri,Cedar County,13862
Missouri,Chariton County,7586
Missouri,Christian County,83028
Missouri,Clark County,6807
Missouri,Clay County,236068
Missouri,Clinton County,20495
Missouri,Cole County,76749
Missouri,Cooper County,17620
Missouri,Crawford County,24387
Missouri,Dade County,7581
Missouri,Dallas County,16441
Missouri,Daviess County,8300
Missouri,DeKalb County,12564
Missouri,Dent County,15566
Missouri,Douglas County,13391
Missouri,Dunklin County,30905
Missouri,Franklin County,102413
Missouri,Gasconade County,14769
Missouri,Gentry County,6688
Missouri,Greene County,286759
Missouri,Grundy County,10111
Missouri,Harrison County,8615
Missouri,Henry County,21834
Missouri,Hickory County,9352
Missouri,Holt County,4499
Missouri,Howard County,10144
Missouri,Howell County,40139
Missouri,Iron County,10286
Missouri,Jackson County,688554
Missouri,Jasper County,118522
Missouri,Jefferson County,222639
Missouri,Johnson County,53941
Missouri,Knox County,3976
Missouri,Laclede County,35488
Missouri,Lafayette County,32655
Missouri,Lawrence County,38131
Missouri,Lewis County,10078
Missouri,Lincoln County,54800
Missouri,Linn County,12248
Missouri,Livingston County,15025
Missouri,McDonald County,22753
Missouri,Macon County,15319
Missouri,Madison County,12226
Missouri,Maries County,8959
Missouri,Marion County,28703
Missouri,Mercer County,3669
Missouri,Miller County,24947
Missouri,Mississippi County,13916
Missouri,Moniteau County,15904
Missouri,Monroe County,8676
Missouri,Montgomery County,11618
Missouri,Morgan County,20097
Missouri,New Madrid County,18030
Missouri,Newton County,58237
Missouri,Nodaway County,22744
Missouri,Oregon County,10779
Missouri,Osage County,13610
Missouri,Ozark County,9328
Missouri,Pemiscot County,17344
Missouri,Perry County,19135
Missouri,Pettis County,42309
Missouri,Phelps County,44873
Missouri,Pike County,18517
Missouri,Platte County,96899
Missouri,Polk County,31347
Missouri,Pulaski County,53132
Missouri,Putnam County,4846
Missouri,Ralls County,10208
Missouri,Randolph County,24987
Missouri,Ray County,22859
Missouri,Reynolds County,6361
Missouri,Ripley County,13807
Missouri,St. Charles County,385115
Missouri,St. Clair County,9396
Missouri,Ste. Genevieve County,17882
Missouri,St. Francois County,66248
Missouri,St. Louis County,999539
Missouri,Saline County,23010
Missouri,Schuyler County,4450
Missouri,Scotland County,4883
Missouri,Scott County,38858
Missouri,Shannon County,8273
Missouri,Shelby County,6084
Missouri,Stoddard County,29634
Missouri,Stone County,31529
Missouri,Sullivan County,6382
Missouri,Taney County,54308
Missouri,Texas County,25714
Missouri,Vernon County,20665
Missouri,Warren County,33554
Missouri,Washington County,24968
Missouri,Wayne County,13369
Missouri,Webster County,37558
Missouri,Worth County,2053
Missouri,Wright County,18304
Missouri,St. Louis city,314867
Montana,Beaverhead County,9360
Montana,Big Horn County,13290
Montana,Blaine County,6646
Montana,Broadwater County,5755
Montana,Carbon County,10466
Montana,Carter County,1320
Montana,Cascade County,81816
Montana,Chouteau County,5812
Montana,Custer County,11895
Montana,Daniels County,1788
Montana,Dawson County,9324
Montana,Deer Lodge County,9131
Montana,Fallon County,2925
Montana,Fergus County,11327
Montana,Flathead County,96147
Montana,Gallatin County,100733
Montana,Garfield County,1086
Montana,Glacier County,13677
Montana,Golden Valley County,747
Montana,Granite County,3206
Montana,Hill County,16468
Montana,Jefferson County,11625
Montana,Judith Basin County,1965
Montana,Lake County,29518
Montana,Lewis and Clark County,66290
Montana,Liberty County,2245
Montana,Lincoln County,19249
Montana,McCone County,1728
Montana,Madison County,7902
Montana,Meagher County,2000
Montana,Mineral County,4194
Montana,Missoula County,114231
Montana,Musselshell County,4766
Montana,Park County,16001
Montana,Petroleum County,453
Montana,Phillips County,4139
Montana,Pondera County,6081
Montana,Powder River County,1610
Montana,Powell County,6852
Montana,Prairie County,1325
Montana,Ravalli County,41387
Montana,Richland County,11405
Montana,Roosevelt County,11218
Montana,Rosebud County,9292
Montana,Sanders County,11414
Montana,Sheridan County,3568
Montana,Silver Bow County,34514
Montana,Stillwater County,9342
Montana,Sweet Grass County,3646
Montana,Teton County,6040
Montana,Toole County,5031
Montana,Treasure County,790
Montana,Valley County,7561
Montana,Wheatland County,2108
Montana,Wibaux County,1121
Montana,Yellowstone County,156332
Nebraska,Adams County,31564
Nebraska,Antelope County,6406
Nebraska,Arthur County,421
Nebraska,Banner County,728
Nebraska,Blaine County,502
Nebraska,Boone County,5357
Nebraska,Box Butte County,11200
Nebraska,Boyd County,2049
Nebraska,Brown County,3058
Nebraska,Buffalo County,48834
Nebraska,Burt County,6546
Nebraska,Butler County,8105
Nebraska,Cass County,25513
Nebraska,Cedar County,8561
Nebraska,Chase County,3803
Nebraska,Cherry County,5792
Nebraska,Cheyenne County,10012
Nebraska,Clay County,6264
Nebraska,Colfax County,10616
Nebraska,Cuming County,9039
Nebraska,Custer County,10836
Nebraska,Dakota County,20529
Nebraska,Dawes County,8972
Nebraska,Dawson County,23925
Nebraska,Deuel County,1901
Nebraska,Dixon County,5765
Nebraska,Dodge County,36576
Nebraska,Douglas County,549706
Nebraska,Dundy County,2017
Nebraska,Fillmore County,5603
Nebraska,Franklin County,3019
Nebraska,Frontier County,2624
Nebraska,Furnas County,4814
Nebraska,Gage County,21632
Nebraska,Garden County,1913
Nebraska,Garfield County,1958
Nebraska,Gosper County,2019
Nebraska,Grant County,682
Nebraska,Greeley County,2436
Nebraska,Hall County,61233
Nebraska,Hamilton County,9149
Nebraska,Harlan County,3469
Nebraska,Hayes County,957
Nebraska,Hitchcock County,2860
Nebraska,Holt County,10293
Nebraska,Hooker County,684
Nebraska,Howard County,6385
Nebraska,Jefferson County,7276
Nebraska,Johnson County,5200
Nebraska,Kearney County,6547
Nebraska,Keith County,8129
Nebraska,Keya Paha County,720
Nebraska,Kimball County,3688
Nebraska,Knox County,8496
Nebraska,Lancaster County,306357
Nebraska,Lincoln County,35569
Nebraska,Logan County,919
Nebraska,Loup County,537
Nebraska,McPherson County,432
Nebraska,Madison County,35062
Nebraska,Merrick County,7829
Nebraska,Morrill County,4903
Nebraska,Nance County,3569
Nebraska,Nemaha County,7041
Nebraska,Nuckolls County,4318
Nebraska,Otoe County,15875
Nebraska,Pawnee County,2704
Nebraska,Perkins County,2904
Nebraska,Phelps County,9163
Nebraska,Pierce County,7175
Nebraska,Platte County,32875
Nebraska,Polk County,5244
Nebraska,Red Willow County,10870
Nebraska,Richardson County,8045
Nebraska,Rock County,1381
Nebraska,Saline County,14325
Nebraska,Sarpy County,175188
Nebraska,Saunders County,20953
Nebraska,Scotts Bluff County,36509
Nebraska,Seward County,17045
Nebraska,Sheridan County,5241
Nebraska,Sherman County,3048
Nebraska,Sioux County,1256
Nebraska,Stanton County,6020
Nebraska,Thayer County,5133
Nebraska,Thomas County,643
Nebraska,Thurston County,7055
Nebraska,Valley County,4252
Nebraska,Washington County,20414
Nebraska,Wayne County,9409
Nebraska,Webster County,3597
Nebraska,Wheeler County,846
Nebraska,York County,13832
Nevada,Churchill County,24022
Nevada,Clark County,2112436
Nevada,Douglas County,47632
Nevada,Elko County,52377
Nevada,Esmeralda County,1102
Nevada,Eureka County,1728
Nevada,Humboldt County,17088
Nevada,Lander County,5887
Nevada,Lincoln County,5203
Nevada,Lyon County,52303
Nevada,Mineral County,4471
Nevada,Nye County,43296
Nevada,Pershing County,6661
Nevada,Storey County,3891
Nevada,Washoe County,445551
Nevada,White Pine County,9858
Nevada,Carson City,54219
New Hampshire,Belknap County,60383
New Hampshire,Carroll County,47524
New Hampshire,Cheshire County,76109
New Hampshire,Coos County,32119
New Hampshire,Grafton County,89280
New Hampshire,Hillsborough County,406371
New Hampshire,Merrimack County,147958
New Hampshire,Rockingham County,302479
New Hampshire,Strafford County,126552
New Hampshire,Sullivan County,43073
New Jersey,Atlantic County,272926
New Jersey,Bergen County,937920
New Jersey,Burlington County,449192
New Jersey,Camden County,510996
New Jersey,Cape May County,94549
New Jersey,Cumberland County,154952
New Jersey,Essex County,800401
New Jersey,Gloucester County,291372
New Jersey,Hudson County,679756
New Jersey,Hunterdon County,125717
New Jersey,Mercer County,373362
New Jersey,Middlesex County,837288
New Jersey,Monmouth County,627551
New Jersey,Morris County,498847
New Jersey,Ocean County,589699
New Jersey,Passaic County,510563
New Jersey,Salem County,63776
New Jersey,Somerset County,333316
New Jersey,Sussex County,143570
New Jersey,Union County,557320
New Jersey,Warren County,107088
New Mexico,Bernalillo County,674855
New Mexico,Catron County,3547
New Mexico,Chaves County,65454
New Mexico,Cibola County,27049
New Mexico,Colfax County,12522
New Mexico,Curry County,50283
New Mexico,De Baca County,2016
New Mexico,Doña Ana County,213849
New Mexico,Eddy County,56793
New Mexico,Grant County,28382
New Mexico,Guadalupe County,4426
New Mexico,Harding County,546
New Mexico,Hidalgo County,4446
New Mexico,Lea County,69505
New Mexico,Lincoln County,19497
New Mexico,Los Alamos County,18031
New Mexico,Luna County,24319
New Mexico,McKinley County,72849
New Mexico,Mora County,4605
New Mexico,Otero County,65130
New Mexico,Quay County,8447
New Mexico,Rio Arriba County,39455
New Mexico,Roosevelt County,19313
New Mexico,Sandoval County,138815
New Mexico,San Juan County,128221
New Mexico,San Miguel County,28203
New Mexico,Santa Fe County,147514
New Mexico,Sierra County,11254
New Mexico,Socorro County,17098
New Mexico,Taos County,32809
New Mexico,Torrance County,15534
New Mexico,Union County,4216
New Mexico,Valencia County,75845
New York,Albany County,308580
New York,Allegany County,47400
New York,Bronx County,1455846
New York,Broome County,196124
New York,Cattaraugus County,78175
New York,Cayuga County,78319
New York,Chautauqua County,130846
New York,Chemung County,86883
New York,Chenango County,48763
New York,Clinton County,81224
New York,Columbia County,61481
New York,Cortland County,48334
New York,Delaware County,45950
New York,Dutchess County,295685
New York,Erie County,923995
New York,Essex County,38233
New York,Franklin County,51054
New York,Fulton County,53955
New York,Genesee County,58537
New York,Greene County,47791
New York,Hamilton County,4646
New York,Herkimer County,62943
New York,Jefferson County,116567
New York,Kings County,2635121
New York,Lewis County,26845
New York,Livingston County,64373
New York,Madison County,71760
New York,Monroe County,748680
New York,Montgomery County,49500
New York,Nassau County,1363069
New York,New York County,1653877
New York,Niagara County,212675
New York,Oneida County,232324
New York,Onondaga County,467669
New York,Ontario County,109491
New York,Orange County,378174
New York,Orleans County,41584
New York,Oswego County,119833
New York,Otsego County,60750
New York,Putnam County,99464
New York,Queens County,2339280
New York,Rensselaer County,159800
New York,Richmond County,475948
New York,Rockland County,325027
New York,St. Lawrence County,110817
New York,Saratoga County,226632
New York,Schenectady County,155239
New York,Schoharie County,31611
New York,Schuyler County,18112
New York,Seneca County,34843
New York,Steuben County,97539
New York,Suffolk County,1497595
New York,Sullivan County,75783
New York,Tioga County,49322
New York,Tompkins County,104415
New York,Ulster County,180129
New York,Warren County,64701
New York,Washington County,62183
New York,Wayne County,91442
New York,Westchester County,975321
New York,Wyoming County,40886
New York,Yates County,25083
North Carolina,Alamance County,157844
North Carolina,Alexander County,37159
North Carolina,Alleghany County,10935
North Carolina,Anson County,25531
North Carolina,Ashe County,26833
North Carolina,Avery County,17535
North Carolina,Beaufort County,47316
North Carolina,Bertie County,19913
North Carolina,Bladen County,34130
North Carolina,Brunswick County,122586
North Carolina,Buncombe County,252268
North Carolina,Burke County,88898
North Carolina,Cabarrus County,196716
North Carolina,Caldwell County,81805
North Carolina,Camden County,10336
North Carolina,Carteret County,68699
North Carolina,Caswell County,22833
North Carolina,Catawba County,156182
North Carolina,Chatham County,68364
North Carolina,Cherokee County,27463
North Carolina,Chowan County,14370
North Carolina,Clay County,10753
North Carolina,Cleveland County,97038
North Carolina,Columbus County,56589
North Carolina,Craven County,103374
North Carolina,Cumberland County,332766
North Carolina,Currituck County,25247
North Carolina,Dare County,35412
North Carolina,Davidson County,164118
North Carolina,Davie County,41766
North Carolina,Duplin County,59350
North Carolina,Durham County,300865
North Carolina,Edgecombe County,54032
North Carolina,Forsyth County,368362
North Carolina,Franklin County,63866
North Carolina,Gaston County,214049
North Carolina,Gates County,11601
North Carolina,Graham County,8607
North Carolina,Granville County,58503
North Carolina,Greene County,21059
North Carolina,Guilford County,517197
North Carolina,Halifax County,52300
North Carolina,Harnett County,128753
North Carolina,Haywood County,59854
North Carolina,Henderson County,112156
North Carolina,Hertford County,24262
North Carolina,Hoke County,52571
North Carolina,Hyde County,5507
North Carolina,Iredell County,169798
North Carolina,Jackson County,41725
North Carolina,Johnston County,186308
North Carolina,Jones County,9776
